id,venue_name,venue_type,main_bus,venue_add_one,venue_add_two,venue_pcode,venue_web,venue_phone,venue_email,venue_fb,venue_tw,org_own,mger,mger_email,mger_phone,online_contact_form,follow_up,venue_city,venue_country,notes,std_sign_off,res_sign_off,s_kick_id,latitude,longitude,constituency,wday_opening,wday_closing,wkd_opening,wkd_closing,show_opening,show_closing,variations,promoters,venue_capacity,outdoor_space,type_outdoor_space,Instagram ,PRS Type,PRS Venue cat,Omic,gigmainbiz,MD_pad,NPO,FAC,AIE,MVT,Year Venue Opened ,Year Venue Closed ,LAP_areas ,skdl_id,skdl_description,skdl_imageurl,skdl_latitude,skdl_longitude,skdl_type
,Xoxo Nightclub Liverpool,,,15 Victoria Street,,L25QS,,01515151233,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91653,,https://dhzjvxyl79yzn.cloudfront.net/3/91653_0_xoxo-nightclub-liverpool_th.jpg,53.407084,-2.987699,Nightclub
,The Living Room,,,15 Victoria Street ,,L25QS,,01512361999,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55759,,,53.4071073,-2.987755,bar
,Sugar Hut Liverpool,,,15 Victoria Street,,L25QS,,01512366390,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75661,,,53.4071073,-2.987755,Nightclub
,View Two Gallery,,,23 Mathew Street,,L26RE,,01512369444,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3907,,https://dhzjvxyl79yzn.cloudfront.net/7/3907_th.jpg,53.406358,-2.987222,Gallery
,Flanagans Apple Restaurant,,,18 Mathew Street,,L26RE,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92243,,https://dhzjvxyl79yzn.cloudfront.net/3/92243_0_flanagans-apple-restaurant_th.jpg,53.406354,-2.986885,bar
,Tres Liverpool,,,3 Temple Court,,L26PY,,01516088000,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111406,,,53.406735,-2.9869258,Nightclub
,"3 Temple Ct, Liverpool L2 6PY",,,3 Temple Court,,L26PY,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112234,,,53.406735,-2.9869258,Nightclub
,Trs,,,3 Temple Court,,L26PY,,01516088000,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106321,,https://dhzjvxyl79yzn.cloudfront.net/1/106321_0_trs_th.jpg,53.4067182,-2.9868579,Nightclub
,Tres Bar Liverpool,,,3 Temple Court,,L26PY,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106359,,,53.4067182,-2.9868579,Nightclub
,Tres,,,3 Temple Court,,L26PY,,01516088000,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106848,,,53.4067182,-2.9868579,bar
,Tres Bar,,,3 Temple Court,,L26PY,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107251,,,53.4067182,-2.9868579,Nightclub
,The Hatch,,,Mathew Street,,L16au,,01519080098,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44364,,https://dhzjvxyl79yzn.cloudfront.net/4/44364_1_the-hatch_th.jpg,53.406342,-2.98633,live
,Chilli White,,,42 Stanley Street,,L16AL,,07751281118,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51136,,https://dhzjvxyl79yzn.cloudfront.net/6/51136_1_chilli-white_th.jpg,53.4066496,-2.9865711,Nightclub
,Secret Nightclub,,,3 Temple Court,,L26PY,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58095,,https://dhzjvxyl79yzn.cloudfront.net/5/58095_1_secret-nightclub_th.jpg,53.406946,-2.987218,Nightclub
,Chalet Bar,,,4-7 Temple Court,,L26PY,,07756203290,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29288,,https://dhzjvxyl79yzn.cloudfront.net/8/29288_1_chalet-bar_th.jpg,53.406764,-2.9868746,Nightclub
,McCooley's Mathew Street,,,"Temple Court, Liverpool, ",,L26PY,,01513052423,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83617,,https://dhzjvxyl79yzn.cloudfront.net/7/83617_0_mccooleys-mathew-street_th.jpg,53.406764,-2.9868746,bar
,Mo*Nique's,,,3 Temple Court Off Mathew Street,,L26PY,,01512271131,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21656,,,53.4067639,-2.9868745,Nightclub
,Social Club,,,1 Stanley Street,,L26py,,01512301730,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51892,,https://dhzjvxyl79yzn.cloudfront.net/2/51892_1_social-club_th.jpg,53.406956,-2.986832,Nightclub
,Revolver,,,2 Temple Court,,L26PY,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105955,,,53.40696,-2.986828,bar
,Reform Liverpool,,,25 Victoria Street,,L16bd,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18081,,,53.4072104,-2.9872459,Nightclub
,Mojito Bar Ltd,,,9 Victoria Street,,L25QA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61369,,https://dhzjvxyl79yzn.cloudfront.net/9/61369_1_mojito-bar-ltd_th.jpg,53.407129,-2.987006,Nightclub
,The Boutique,,,8 - 10 Stanley Street,,L16AF,,01512365097,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34040,,https://dhzjvxyl79yzn.cloudfront.net/0/34040_1_the-boutique_th.jpg,53.407655,-2.987812,Nightclub
,Club 8 Liverpool,,,8-10 Stanley Street,,L16AF,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69635,,,53.4075206,-2.9877796,Nightclub
,Truth Club,,,8-10 Stanley Street,,L16AF,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72937,,,53.4075206,-2.9877796,Nightclub
,Delifonseca Cafe,,,12 Stanley Street,,L16AF,,01512550808,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75377,,,53.4075206,-2.9877796,Restaurant
,Social,,,27 Stanley Street,,L16AA,,07483933796,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115488,,https://dhzjvxyl79yzn.cloudfront.net/8/115488_0_social_th.jpg,53.407542,-2.987457,Nightclub
,Shiva,,,"29 Stanley Street, Liverpool, L1 6AA.",,L16AA,,07756710819,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35446,,https://dhzjvxyl79yzn.cloudfront.net/6/35446_1_shiva_th.jpg,53.407577,-2.987458,Nightclub
,Truth,,,18A Stanley Street,,L16AF,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72936,,https://dhzjvxyl79yzn.cloudfront.net/6/72936_1_truth_th.jpg,53.407581,-2.987442,Nightclub
,Vanity,,,27 Stanley Street,,L16AA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100418,,,53.4075411,-2.9873281,Nightclub
,FunnyBoyz Liverpool,,,27 Stanley Street,,L16AA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103835,,https://dhzjvxyl79yzn.cloudfront.net/5/103835_0_funnyboyz-liverpool_th.jpg,53.4075411,-2.9873281,Nightclub
,Void,,,Void 27-29 Stanley Street,,L16AA,,01512361398,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77169,,,53.407603,-2.987436,Nightclub
,Voxx Nightclub,,,25 Stanley Street,,L16AA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85696,,,53.407626,-2.987455,Nightclub
,Citrus Lounge,,,dale st,,L25sf,,0151255005,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34236,,,53.4079301,-2.9882554,Nightclub
,Q Club,,,Top of Stanley Street,,L16AA,,01512304529,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7069,,,53.407722,-2.98742,Nightclub
,Wonderland,,,10 Stanley Street,,L16AA,,01510000001,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56815,,,53.4077305,-2.9873934,Nightclub
,Wonderland Stanley Street Liverpool,,,"Euston Square Properties Ltd, Stanley Street",,L16AA,,01517079796,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58881,,,53.4077305,-2.9873934,Nightclub
,Man's Ruin,,,"10 Stanley Street, Liverpool, L1 6AA",,L16AA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76088,,,53.4077305,-2.9873934,Nightclub
,The Navy Bar,,,27A Stanley Street,,L16AA,,01512274071,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77104,,,53.4077305,-2.9873934,Nightclub
,Mans Ruin,,," Stanley Street, Liverpool, L1",,L16AA,,01512363888,,,,,,,,,,Liverpool ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77819,,https://dhzjvxyl79yzn.cloudfront.net/9/77819_0_mans-ruin_th.jpg,53.4077305,-2.9873934,Nightclub
,VOXX,,,25 Stanley Street,,L16AA,,01512366395,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82372,,,53.4077305,-2.9873934,Nightclub
,Vanity,,,27 Stanley Street,,AB106US,,,,,,,,,,,,Lierpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100417,,,53.407437,-2.987149,Nightclub
,ICON ,,,27 STANLEY STREET ,,L16AA,,07483933796,,,,,,,,,,LIVERPOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112180,,,53.4076225,-2.987285,Nightclub
,The Lisbon,,,35 Victoria Street,,L16BG,,01512316831,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18333,,https://dhzjvxyl79yzn.cloudfront.net/3/18333_th.jpg,53.4073129,-2.986797,bar
,Champagne And Fromage,,,37 Victoria Street,,L16BQ,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95861,,https://dhzjvxyl79yzn.cloudfront.net/1/95861_0_champagne-and-fromage_th.jpg,53.4074724,-2.9866978,Restaurant
,Ashcroft Social Jazz And Sports Bar ,,,"Ashcroft Buildings, 37 Victoria Street",,L16BQ,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97977,,https://dhzjvxyl79yzn.cloudfront.net/7/97977_0_ashcroft-social-jazz-and-sports-bar-_th.jpg,53.4074724,-2.9866978,bar
,The Lomax,,,34 Cumberland Street,,L16BU,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27220,,,53.407744,-2.986973,live
